trade_id,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00211,LONG,AVAILABLE,-0.0238668159103444,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.0430108406570704,AVAILABLE,Friday,True
L00212,LONG,AVAILABLE,0.7961284932714755,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.5979594939737742,AVAILABLE,Friday,True
L00213,LONG,AVAILABLE,1.3516324632212096,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.8473892621314023,AVAILABLE,Friday,True
L00214,LONG,AVAILABLE,1.3477087463026194,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.63237959222956,AVAILABLE,Friday,True
L00216,SHORT,AVAILABLE,0.1005002193760492,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.457873583901402,AVAILABLE,Friday,True
L00217,SHORT,AVAILABLE,1.1017056745376148,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.2850878454623929,AVAILABLE,Friday,True
L00218,SHORT,AVAILABLE,0.8679582814261265,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.8080025880133723,AVAILABLE,Friday,True
L00219,SHORT,AVAILABLE,1.181629772578609,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.2609327040934764,AVAILABLE,Friday,True
L00220,SHORT,AVAILABLE,1.433341561706152,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.367852935570136,AVAILABLE,Friday,True
L00222,LONG,AVAILABLE,1.8665813491858416,AVAILABLE,NEUTRAL,AVAILABLE,5.026589043178184,AVAILABLE,Monday,True
L00223,LONG,AVAILABLE,1.0560664089395573,AVAILABLE,NEUTRAL,AVAILABLE,2.1306606445967144,AVAILABLE,Monday,True
L00224,SHORT,AVAILABLE,0.6469890947230782,AVAILABLE,NEUTRAL,AVAILABLE,0.8543759501307582,AVAILABLE,Monday,True
L00226,SHORT,AVAILABLE,0.5366987483257638,AVAILABLE,NEUTRAL,AVAILABLE,1.7414052149908463,AVAILABLE,Monday,True
L00227,LONG,AVAILABLE,0.8790217302614808,AVAILABLE,NEUTRAL,AVAILABLE,1.215471241513787,AVAILABLE,Monday,True
L00228,LONG,AVAILABLE,2.211904945098305,AVAILABLE,NEUTRAL,AVAILABLE,2.318987331616533,AVAILABLE,Monday,True
L00229,LONG,AVAILABLE,1.871764331520864,AVAILABLE,NEUTRAL,AVAILABLE,2.046687244460276,AVAILABLE,Monday,True
L00230,LONG,AVAILABLE,0.2900362108260064,AVAILABLE,NEUTRAL,AVAILABLE,1.965875350565484,AVAILABLE,Tuesday,True
L00231,LONG,AVAILABLE,0.5898820994132868,AVAILABLE,NEUTRAL,AVAILABLE,1.9849441402262256,AVAILABLE,Tuesday,True
