trade_id,limit_created_bar,limit_created_time_utc,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00826,25727,2025-08-25 13:30:03,LONG,AVAILABLE,0.6120832760593913,AVAILABLE,NEUTRAL,AVAILABLE,1.6921019553156882,AVAILABLE,Monday,True
L00827,25751,2025-08-25 15:30:03,SHORT,AVAILABLE,0.4002260536806172,AVAILABLE,NEUTRAL,AVAILABLE,1.295565361488887,AVAILABLE,Monday,True
L00828,25818,2025-08-25 22:05:03,SHORT,AVAILABLE,0.4218376294873021,AVAILABLE,NEUTRAL,AVAILABLE,1.2745529187424445,AVAILABLE,Monday,True
L00829,25826,2025-08-25 22:45:03,LONG,AVAILABLE,0.6914505799534046,AVAILABLE,NEUTRAL,AVAILABLE,1.2607895408814973,AVAILABLE,Monday,True
L00830,25841,2025-08-26 00:00:03,LONG,AVAILABLE,1.868505698609988,AVAILABLE,NEUTRAL,AVAILABLE,2.2012279071145047,AVAILABLE,Tuesday,True
L00831,25854,2025-08-26 01:05:03,SHORT,AVAILABLE,2.374158360608175,AVAILABLE,NEUTRAL,AVAILABLE,2.437459429866529,AVAILABLE,Tuesday,True
L00832,26036,2025-08-26 16:15:03,SHORT,AVAILABLE,1.4153916803615771,AVAILABLE,NEUTRAL,AVAILABLE,2.429447261749126,AVAILABLE,Tuesday,True
L00833,26093,2025-08-26 22:00:03,SHORT,AVAILABLE,0.4312774916986889,AVAILABLE,NEUTRAL,AVAILABLE,2.115998022626696,AVAILABLE,Tuesday,True
L00834,26095,2025-08-26 22:10:03,SHORT,AVAILABLE,3.088276955739267,AVAILABLE,NEUTRAL,AVAILABLE,1.064971284081369,AVAILABLE,Tuesday,True
L00835,26099,2025-08-26 22:30:03,LONG,AVAILABLE,1.8184503009995168,AVAILABLE,NEUTRAL,AVAILABLE,1.3041863993883682,AVAILABLE,Tuesday,True
L00836,26112,2025-08-26 23:35:03,SHORT,AVAILABLE,1.821550309492935,AVAILABLE,NEUTRAL,AVAILABLE,1.5796568809784086,AVAILABLE,Tuesday,True
L00837,26122,2025-08-27 00:25:03,SHORT,AVAILABLE,0.680989924757237,AVAILABLE,NEUTRAL,AVAILABLE,1.4540780183620934,AVAILABLE,Wednesday,True
L00838,26139,2025-08-27 01:50:03,LONG,AVAILABLE,2.033895920553765,AVAILABLE,NEUTRAL,AVAILABLE,1.829551699839825,AVAILABLE,Wednesday,True
L00839,26181,2025-08-27 05:20:03,LONG,AVAILABLE,0.5195250672019408,AVAILABLE,NEUTRAL,AVAILABLE,1.6178396071210288,AVAILABLE,Wednesday,True
L00840,26208,2025-08-27 07:35:03,LONG,AVAILABLE,1.133051868468704,AVAILABLE,NEUTRAL,AVAILABLE,1.495355280679326,AVAILABLE,Wednesday,True
L00841,26258,2025-08-27 11:45:03,LONG,AVAILABLE,0.9212024821402612,AVAILABLE,NEUTRAL,AVAILABLE,1.3423080269191,AVAILABLE,Wednesday,True
