time,time_server,time_utc,open,high,low,close,spread
1787198700,1787198700,1787198701,4495.719,4497.857,4495.553,4496.915,260
1787199000,1787199000,1787199001,4496.655,4497.584,4496.094,4496.524,260
1787199300,1787199300,1787199301,4496.196,4497.078,4494.961,4496.52,260
1787199600,1787199600,1787199601,4496.397,4497.215,4493.987,4495.163,260
1787199900,1787199900,1787199901,4495.162,4495.387,4489.881,4490.018,260
1787200200,1787200200,1787200201,4489.749,4490.96,4486.622,4488.035,260
1787200500,1787200500,1787200501,4488.275,4488.71,4486.208,4487.167,260
1787200800,1787200800,1787200801,4487.311,4488.65,4486.668,4486.991,260
1787201100,1787201100,1787201101,4486.935,4490.643,4486.747,4490.066,260
1787201400,1787201400,1787201401,4490.046,4491.605,4489.329,4489.915,260
1787201700,1787201700,1787201701,4489.821,4491.409,4487.846,4488.387,260
1787202000,1787202000,1787202001,4488.654,4491.639,4488.212,4491.425,260
1787202300,1787202300,1787202301,4491.454,4494.097,4490.761,4490.856,260
1787202600,1787202600,1787202601,4490.947,4491.707,4483.989,4485.733,260
1787202900,1787202900,1787202901,4485.503,4486.874,4484.068,4484.62,260
1787203200,1787203200,1787203201,4484.595,4487.046,4484.004,4486.201,260
1787203500,1787203500,1787203501,4486.203,4486.355,4482.698,4482.967,260
1787203800,1787203800,1787203801,4483.17,4486.058,4479.545,4480.422,260
1787204100,1787204100,1787204101,4480.478,4481.715,4478.061,4480.238,260
1787204400,1787204400,1787204401,4480.331,4482.447,4478.962,4480.55,260
1787204700,1787204700,1787204701,4480.811,4481.603,4479.145,4481.043,260
1787205000,1787205000,1787205001,4481.36,4481.7,4478.303,4478.596,260
1787205300,1787205300,1787205301,4478.651,4483.071,4477.715,4481.06,260
1787205600,1787205600,1787205601,4481.003,4488.826,4479.947,4488.292,260
1787205900,1787205900,1787205901,4488.235,4491.404,4487.717,4490.198,260
1787206200,1787206200,1787206201,4490.049,4493.541,4489.606,4492.588,260
1787206500,1787206500,1787206501,4492.643,4495.906,4491.732,4493.618,260
1787206800,1787206800,1787206801,4493.509,4494.328,4492.037,4493.271,260
1787207100,1787207100,1787207101,4493.333,4495.382,4492.924,4493.944,260
1787207400,1787207400,1787207401,4493.886,4495.058,4492.263,4495.058,260
1787207700,1787207700,1787207701,4494.965,4495.364,4493.117,4493.522,260
1787208000,1787208000,1787208001,4493.527,4494.318,4491.562,4492.17,260
1787208300,1787208300,1787208301,4492.224,4495.478,4492.224,4493.119,260
1787208600,1787208600,1787208601,4493.127,4493.302,4491.079,4491.969,260
1787208900,1787208900,1787208901,4491.908,4494.29,4491.193,4493.885,260
1787209200,1787209200,1787209201,4493.721,4493.86,4487.517,4488.489,260
1787209500,1787209500,1787209501,4488.827,4490.686,4487.266,4489.134,260
1787209800,1787209800,1787209801,4489.191,4490.298,4487.029,4487.654,260
1787210100,1787210100,1787210101,4487.941,4490.437,4486.913,4487.163,260
1787210400,1787210400,1787210401,4486.883,4488.233,4485.728,4485.729,260
1787210700,1787210700,1787210701,4485.659,4486.23,4483.564,4484.071,260
1787211000,1787211000,1787211001,4484.036,4489.645,4483.34,4489.606,260
1787211300,1787211300,1787211301,4489.545,4491.148,4488.971,4490.197,260
