category,trade_id,bar,time_utc,direction,close,tv22_day_first_bar,tv22_day_first_time,daily_open_TV22,D_state_TV22,daily_open_UTC00,D_state_UTC00,daily_open_NY18,D_state_NY18,htf_block_start,new_htf_block,res_src,sup_src,pivot_1,pivot_2,pivot_3,hch_active_level,hch_form_bar,HCH_state,m15_bucket_start,ema200_m15_prev,ema200_m15_smooth,ema50,ema200,max_input_bar
tv22_day_transition,L00442,13734,2025-06-24 22:05:03,SHORT,3322.677,13733,2025-06-24 22:00:03,3324.444,ALIGNED,3344.313,ALIGNED,3324.444,ALIGNED,2025-06-24 22:00:00,False,3324.444,3322.09,3324.444,3328.514,3366.011,,13458.0,NO_HCH,2025-06-24 22:00:00,3343.4474121682065,3343.2407414003637,3320.1085313805293,3324.4898533316314,13734
tv22_day_transition,L00492,15113,2025-07-01 22:05:03,SHORT,3337.978,15112,2025-07-01 22:00:03,3337.692,AGAINST,3312.432,AGAINST,3337.692,AGAINST,2025-07-01 22:00:00,False,3340.713,3337.584,3340.713,3358.015,3357.139,3340.713,15113.0,HCH,2025-07-01 22:00:00,3319.54556140834,3319.7289687575108,3339.309366779707,3336.336251006501,15113
tv22_day_transition,L00628,19751,2025-07-24 22:05:03,SHORT,3367.485,19750,2025-07-24 22:00:03,3368.512,ALIGNED,3390.047,ALIGNED,3368.512,ALIGNED,2025-07-24 22:00:00,False,3369.99,3367.121,3369.99,3377.43,3376.95,3369.99,19751.0,HCH,2025-07-24 22:00:00,3385.261955020268,3385.0850698956883,3369.934120841,3373.055150752301,19751
tv22_day_transition,L00673,21130,2025-07-31 22:05:03,SHORT,3291.06,21129,2025-07-31 22:00:03,3289.847,AGAINST,3285.257,AGAINST,3289.847,AGAINST,2025-07-31 22:00:00,False,3292.585,3289.583,3292.585,3311.164,3310.48,3292.585,21130.0,HCH,2025-07-31 22:00:00,3305.511770547609,3305.3679718356925,3293.498219661035,3297.412476658745,21130
m15_transition,L00001,17,2025-04-14 20:15:03,SHORT,3210.882,0,2025-04-14 18:50:03,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,2025-04-14 11:20:00,False,3213.821,3202.236,3213.821,3213.083,3212.895,,,NO_HCH,2025-04-14 20:15:00,3208.257156581932,3208.283274426888,3207.5947263053363,3205.27335590252,17
m15_transition,L00002,35,2025-04-14 22:45:03,SHORT,3212.545,26,2025-04-14 22:00:03,3211.99,AGAINST,3204.624,UNAVAILABLE,3211.99,AGAINST,2025-04-14 22:00:00,False,3215.225,3210.78,3215.225,3213.961,3213.686,3213.686,27.0,NO_HCH,2025-04-14 22:45:00,3208.4937102765666,3208.5340216170985,3209.9150919918925,3206.3735959338455,35
m15_transition,L00005,194,2025-04-15 12:00:03,LONG,3221.239,26,2025-04-14 22:00:03,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,2025-04-15 11:20:00,False,3222.31,3216.776,3216.776,3218.09,3218.383,3219.641,187.0,NO_HCH,2025-04-15 12:00:00,3214.4454028996215,3214.51300088072,3223.1446339303548,3220.033580656278,194
m15_transition,L00009,218,2025-04-15 14:00:03,LONG,3219.715,26,2025-04-14 22:00:03,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,2025-04-15 11:20:00,False,3226.359,3211.599,3211.599,3211.627,3214.265,3219.641,187.0,NO_HCH,2025-04-15 14:00:00,3214.838272496846,3214.886797148619,3220.7795573728354,3219.959026096633,218
m15_transition,L00010,230,2025-04-15 15:00:03,SHORT,3218.912,26,2025-04-14 22:00:03,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,2025-04-15 11:20:00,False,3226.861,3211.599,3226.861,3226.359,3226.175,3221.845,187.0,NO_HCH,2025-04-15 15:00:00,3215.1361934898264,3215.173763703858,3221.39650624526,3220.2392606573967,230
m15_transition,L00012,293,2025-04-15 20:15:03,SHORT,3227.768,26,2025-04-14 22:00:03,3211.99,AGAINST,3212.601,AGAINST,3211.99,AGAINST,2025-04-15 11:20:00,False,3233.674,3211.599,3233.674,3233.432,3231.861,3221.845,187.0,NO_HCH,2025-04-15 20:15:00,3217.0962537283967,3217.2024402584625,3226.776780881105,3222.7827871211402,293
m15_transition,L00018,398,2025-04-16 06:00:03,SHORT,3287.035,302,2025-04-15 22:00:03,3230.815,AGAINST,3251.804,AGAINST,3230.815,AGAINST,2025-04-15 22:00:00,False,3291.785,3229.896,3291.785,3290.707,3289.066,3233.315,303.0,NO_HCH,2025-04-16 06:00:00,3231.022613536586,3231.5799507153265,3277.9783361354453,3252.0647692369635,398
m15_transition,L00023,500,2025-04-16 14:30:03,SHORT,3309.959,302,2025-04-15 22:00:03,3230.815,AGAINST,3251.804,AGAINST,3230.815,AGAINST,2025-04-16 11:20:00,False,3319.62,3293.164,3319.62,3316.499,3313.723,3300.215,463.0,NO_HCH,2025-04-16 14:30:00,3251.6401876665022,3252.220474356388,3306.0617579599075,3285.132044039661,500
m15_transition,L00027,614,2025-04-17 01:00:03,LONG,3346.805,578,2025-04-16 22:00:03,3343.801,ALIGNED,3350.168,AGAINST,3343.801,ALIGNED,2025-04-16 22:00:00,False,3357.752,3342.027,3342.027,3342.051,3343.035,,303.0,NO_HCH,2025-04-17 01:00:00,3278.658775499353,3279.3368473849314,3345.3357477230475,3322.2665873559854,614
m15_transition,L00028,629,2025-04-17 02:15:03,LONG,3335.894,578,2025-04-16 22:00:03,3343.801,AGAINST,3350.168,AGAINST,3343.801,AGAINST,2025-04-16 22:00:00,False,3357.752,3320.801,3320.801,3322.754,3328.13,,303.0,NO_HCH,2025-04-17 02:15:00,3281.6720485472188,3282.2115704522216,3341.8680528759796,3324.5441041340164,629
m15_transition,L00030,707,2025-04-17 08:45:03,LONG,3321.221,578,2025-04-16 22:00:03,3343.801,AGAINST,3350.168,AGAINST,3343.801,AGAINST,2025-04-16 22:00:00,False,3357.752,3312.683,3312.683,3314.279,3314.757,,303.0,NO_HCH,2025-04-17 08:45:00,3293.14225625428,3293.4216467393117,3326.589209943264,3327.8080773113056,707
m15_transition,L00037,994,2025-04-21 09:45:03,SHORT,3392.962,854,2025-04-20 22:05:03,3331.849,AGAINST,3348.191,AGAINST,3331.849,AGAINST,2025-04-20 22:00:00,False,3397.038,3331.288,3397.038,3396.585,3396.018,3338.51,855.0,NO_HCH,2025-04-21 09:45:00,3330.8871075337306,3331.5047681552855,3389.3948844571087,3366.2968764370266,994
htf_block_reset_or_level_update,L00000,1,2025-04-14 18:55:03,LONG,3208.11,0,2025-04-14 18:50:03,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,3204.624,UNAVAILABLE,2025-04-14 11:20:00,False,3209.137,3202.236,3202.236,,,,,UNAVAILABLE,2025-04-14 18:45:00,,,3204.3888823529414,3204.2755373134332,1
htf_block_reset_or_level_update,L00005,194,2025-04-15 12:00:03,LONG,3221.239,26,2025-04-14 22:00:03,3211.99,ALIGNED,3212.601,ALIGNED,3211.99,ALIGNED,2025-04-15 11:20:00,False,3222.31,3216.776,3216.776,3218.09,3218.383,3219.641,187.0,NO_HCH,2025-04-15 12:00:00,3214.4454028996215,3214.51300088072,3223.1446339303548,3220.033580656278,194
htf_block_reset_or_level_update,L00014,325,2025-04-15 23:55:03,LONG,3251.78,302,2025-04-15 22:00:03,3230.815,ALIGNED,3212.601,ALIGNED,3230.815,ALIGNED,2025-04-15 22:00:00,False,3251.826,3229.896,3229.896,3211.599,3211.627,3229.896,303.0,HCH,2025-04-15 23:45:00,3218.9284758106505,3219.2553566483557,3235.528837080999,3226.7576052300124,325
htf_block_reset_or_level_update,L00021,466,2025-04-16 11:40:03,LONG,3302.909,302,2025-04-15 22:00:03,3230.815,ALIGNED,3251.804,ALIGNED,3230.815,ALIGNED,2025-04-16 11:20:00,False,3303.684,3293.164,3293.164,3229.896,3211.599,,303.0,NO_HCH,2025-04-16 11:30:00,3244.5306335968344,3245.1115128645274,3299.8043483366405,3275.9198364970516,466
