candidate,partition,bucket,N_flag,N_other,ExpR_flag,ExpR_other,dExpR,boot_lo,boot_hi
E2_px_ema200,month,2025-08,46,99,-0.10936416158628255,-0.02547654350006811,-0.08388761808621445,,
E2_px_ema200,month,2025-09,38,124,0.008707132270589654,-0.07208911013071388,0.08079624240130354,,
E2_px_ema200,month,2025-10,39,120,0.15962441115120823,0.11244803384629054,0.047176377304917694,,
E2_px_ema200,month,2025-11,28,96,0.015862853703228135,0.038943111081713555,-0.02308025737848542,,
E2_px_ema200,month,2025-12,37,113,-0.16885346475635848,0.08893261294977439,-0.2577860777061329,,
E2_px_ema200,month,2026-01,33,112,-0.17690684557528713,-0.019532255106090076,-0.15737459046919705,,
E2_px_ema200,month,2026-02,23,74,-0.2445213742576444,0.3253782583763463,-0.5698996326339907,,
E2_px_ema200,month,2026-03,40,97,-0.2760279980548613,-0.10260138488686336,-0.1734266131679979,,
E2_px_ema200,month,2026-04,31,109,-0.14331400360003085,0.015637059177301644,-0.1589510627773325,,
E2_px_ema200,month,2026-05,33,128,-0.0696455516727812,-0.2992597869943296,0.2296142353215484,,
E2_px_ema200,month,2026-06,54,129,0.03449605112883537,-0.11671533505530787,0.15121138618414326,,
E2_px_ema200,month,2026-07,33,119,-0.02080753736802274,-0.12734123816640613,0.1065337007983834,,
E2_px_ema200,month,2026-08,33,125,0.3453133416322591,0.06902390031207398,0.27628944132018507,,
E2_px_ema200,month,2026-09,13,37,-0.11455141620590534,0.07224238035261384,-0.1867937965585192,,
E2_px_ema200,weekday,Friday,98,309,-0.22709668876811007,-0.1335431755521511,-0.09355351321595898,,
E2_px_ema200,weekday,Monday,124,353,0.13662221371139557,-0.011740737887762568,0.14836295159915813,,
E2_px_ema200,weekday,Sunday,15,34,0.15766188601218561,-0.09347894802684413,0.25114083403902976,,
E2_px_ema200,weekday,Thursday,121,360,-0.10101535959329938,0.04103253031051574,-0.14204788990381512,,
E2_px_ema200,weekday,Tuesday,126,389,-0.029944935965557796,-0.06792949788754418,0.03798456192198639,,
E2_px_ema200,weekday,Wednesday,129,370,-0.19521277224935396,-0.0023775009797293695,-0.1928352712696246,,
E2_px_ema200,atr_regime,Compression,259,533,-0.09944207378611926,-0.018913246541202414,-0.08052882724491685,,
E2_px_ema200,atr_regime,Expansion,160,672,-0.03988808940257494,-0.04839836791138256,0.008510278508807617,,
E2_px_ema200,atr_regime,Normal,194,610,-0.06180499668287762,-0.03035357612945326,-0.03145142055342436,,
E3_px_ema200m15,ALL,ALL,852,1576,-0.024448300658658606,-0.05356469142905738,0.02911639077039877,-0.054205663339160895,0.10806289394486347
E3_px_ema200m15,direction,LONG,470,704,-0.0783295807038242,-0.11808748951536888,0.03975790881154467,,
E3_px_ema200m15,direction,SHORT,382,872,0.04184542086288021,-0.0014728911391912274,0.04331831200207144,,
E3_px_ema200m15,sub_periodo,sub1,298,487,-0.06862510991243301,-0.10709899516289163,0.038473885250458625,,
E3_px_ema200m15,sub_periodo,sub2,261,508,0.022287824694737324,0.02616008820986067,-0.003872263515123344,,
E3_px_ema200m15,sub_periodo,sub3,293,581,-0.021149459565182705,-0.07839942832784066,0.05724996876265796,,
E3_px_ema200m15,month,2025-04,11,26,-0.1253241688842751,0.04177145897648633,-0.16709562786076143,,
E3_px_ema200m15,month,2025-05,62,84,-0.26388310013855654,-0.24130112392562514,-0.0225819762129314,,
E3_px_ema200m15,month,2025-06,51,79,-0.13466941487719025,0.0021757264702011924,-0.13684514134739145,,
E3_px_ema200m15,month,2025-07,58,94,0.04875840048981642,-0.15176734841104325,0.20052574890085967,,
E3_px_ema200m15,month,2025-08,60,85,-0.07094680945156173,-0.03877789026331806,-0.032168919188243675,,
E3_px_ema200m15,month,2025-09,50,112,0.11548787624449487,-0.12841582537634696,0.24390370162084185,,
E3_px_ema200m15,month,2025-10,48,111,0.313478343851546,0.042091491816016006,0.27138685203553,,
E3_px_ema200m15,month,2025-11,41,83,0.030966008650329255,0.03509749654061913,-0.004131487890289876,,
E3_px_ema200m15,month,2025-12,50,100,-0.10897843990968412,0.09250729062823444,-0.20148573053791857,,
E3_px_ema200m15,month,2026-01,51,94,-0.04576051902260013,-0.060550553252276096,0.014790034229675966,,
E3_px_ema200m15,month,2026-02,30,67,0.11043021702171131,0.22598646270555914,-0.11555624568384783,,
E3_px_ema200m15,month,2026-03,60,77,-0.09157135931280082,-0.20128795710976816,0.10971659779696734,,
E3_px_ema200m15,month,2026-04,50,90,-0.07845330583784207,0.013159673673522509,-0.09161297951136459,,
E3_px_ema200m15,month,2026-05,51,110,-0.1747685767710986,-0.28809416841045393,0.11332559163935532,,
E3_px_ema200m15,month,2026-06,70,113,-0.09476239380144183,-0.05805419376174049,-0.03670820003970134,,
