candidate,cohort,universe,N,pct,N_LONG,N_SHORT,fill_rate,wins,losses,timeouts,WR,pnl_total,pnl_mean,pnl_median,PF,ExpR,ExpR_LONG,WR_LONG,ExpR_SHORT,WR_SHORT
COMBO,D_ONLY,B,578,,319.0,259.0,,276.0,301.0,1.0,0.47750865051903113,-830.2116349628432,-1.436352309624296,-2.5998059757328065,0.7633008629335272,-0.07496528909503565,-0.12932540254972136,0.45141065830721006,-0.00801209916436101,0.5096525096525096
COMBO,HCH_ONLY,B,65,,26.0,39.0,,38.0,27.0,0.0,0.5846153846153846,107.3143340628537,1.6509897548131338,1.854897723482736,1.7622884107764183,0.1115363474218068,0.17964057544642412,0.6153846153846154,0.06613352873872862,0.5641025641025641
COMBO,NEITHER,B,1734,,800.0,934.0,,856.0,876.0,2.0,0.4936562860438293,-500.6955053719347,-0.2887517332018078,-1.9409101582568837,0.9473667416757245,-0.04386684054617004,-0.09263986696543318,0.47,-0.0020912290521545116,0.5139186295503212
COMBO,UNAVAILABLE,B,1,,0.0,1.0,,1.0,0.0,0.0,1.0,2.619672128487764,2.619672128487764,2.619672128487764,inf,0.9426088084416148,,,0.9426088084416148,1.0
E1_px_ema50,ALIGNED,B,428,,224.0,204.0,,211.0,216.0,1.0,0.4929906542056075,-375.67390821026936,-0.8777427761922181,-1.4443308534685002,0.8247080803256202,-0.05478858797202001,-0.20757394610906607,0.41964285714285715,0.11297572684512865,0.5735294117647058
E1_px_ema50,AGAINST,B,2000,,950.0,1050.0,,990.0,1008.0,2.0,0.495,-933.5136574787575,-0.46675682873937874,-1.8807546355221803,0.9170889236210753,-0.04089919510067351,-0.07731782275914344,0.4768421052631579,-0.007949008171581666,0.5114285714285715
E1_px_ema50,UNAVAILABLE,B,46,,15.0,31.0,,19.0,27.0,0.0,0.41304347826086957,-68.8577215758333,-1.4969069907789847,-4.553140422833394,0.7314553672249134,-0.19931022939174597,0.04613626752657361,0.5333333333333333,-0.31807466338448115,0.3548387096774194
E2_px_ema200,ALIGNED,B,613,,343.0,270.0,,296.0,316.0,1.0,0.4828711256117455,-736.2209454858768,-1.2010129616409082,-1.886685634641708,0.7710458761690003,-0.07198655917046516,-0.16165248242349056,0.4402332361516035,0.04192237296208198,0.5370370370370371
E2_px_ema200,AGAINST,B,1815,,831.0,984.0,,905.0,908.0,2.0,0.4986225895316804,-572.96662020315,-0.31568408826619837,-1.4497433277897471,0.9437538226387103,-0.033675011064394744,-0.0776193671219733,0.47653429602888087,0.0034365335330115306,0.5172764227642277
E2_px_ema200,UNAVAILABLE,B,46,,15.0,31.0,,19.0,27.0,0.0,0.41304347826086957,-68.8577215758333,-1.4969069907789847,-4.553140422833394,0.7314553672249134,-0.19931022939174597,0.04613626752657361,0.5333333333333333,-0.31807466338448115,0.3548387096774194
E3_px_ema200m15,ALIGNED,B,852,,470.0,382.0,,431.0,420.0,1.0,0.505868544600939,-508.35251278561816,-0.5966578788563593,1.3536538735243084,0.884429868494188,-0.024448300658658606,-0.0783295807038242,0.4808510638297872,0.04184542086288021,0.5366492146596858
E3_px_ema200m15,AGAINST,B,1576,,704.0,872.0,,770.0,804.0,2.0,0.4885786802030457,-800.8350529034087,-0.5081440691011476,-2.270627406720905,0.9110548812564246,-0.05356469142905738,-0.11808748951536888,0.4559659090909091,-0.0014728911391912274,0.5149082568807339
E3_px_ema200m15,UNAVAILABLE,B,46,,15.0,31.0,,19.0,27.0,0.0,0.41304347826086957,-68.8577215758333,-1.4969069907789847,-4.553140422833394,0.7314553672249134,-0.19931022939174597,0.04613626752657361,0.5333333333333333,-0.31807466338448115,0.3548387096774194
E4_ema50_vs_ema200,ALIGNED,B,798,,452.0,346.0,,376.0,421.0,1.0,0.47117794486215536,-1040.7289991893697,-1.3041716781821675,-2.39806707125922,0.7623474878872339,-0.09334594934336637,-0.15016338180569425,0.4446902654867257,-0.019122020230730005,0.5057803468208093
E4_ema50_vs_ema200,AGAINST,B,1630,,722.0,908.0,,825.0,803.0,2.0,0.5061349693251533,-268.4585664996572,-0.1646985070550044,1.7717752404234943,0.9702477786499984,-0.018869839433966383,-0.07212554982471367,0.4792243767313019,0.023476661559557334,0.5275330396475771
E4_ema50_vs_ema200,UNAVAILABLE,B,46,,15.0,31.0,,19.0,27.0,0.0,0.41304347826086957,-68.8577215758333,-1.4969069907789847,-4.553140422833394,0.7314553672249134,-0.19931022939174597,0.04613626752657361,0.5333333333333333,-0.31807466338448115,0.3548387096774194
E5_px_all3,ALIGNED,B,252,,144.0,108.0,,125.0,126.0,1.0,0.49603174603174605,-237.58109512846568,-0.9427821235256575,-0.23532046600553258,0.8151359453382512,-0.0452205321442764,-0.19837641756871496,0.4236111111111111,0.15898731508830843,0.5925925925925926
E5_px_all3,AGAINST,B,2176,,1030.0,1146.0,,1076.0,1098.0,2.0,0.4944852941176471,-1071.606470560561,-0.4924662088973167,-1.8411540751892512,0.9115630608076429,-0.04313066716590714,-0.08872067128128358,0.47184466019417476,-0.002155358056973674,0.5148342059336823
E5_px_all3,UNAVAILABLE,B,46,,15.0,31.0,,19.0,27.0,0.0,0.41304347826086957,-68.8577215758333,-1.4969069907789847,-4.553140422833394,0.7314553672249134,-0.19931022939174597,0.04613626752657361,0.5333333333333333,-0.31807466338448115,0.3548387096774194
