cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,n_trades,n_win,n_loss,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_drawdown_r,max_drawdown_usd,longest_losing_streak,total_costs_usd,swap_total_usd,commission_total_usd,n_long,n_short
cfg_0071,8,200,1.7,3.0,3,1984,463,1511,0.23454913880445796,0.882598353691832,-0.09259309259866876,-183.70469571575882,-1971.4298190374652,2.959840730145715,-1.0355751160905566,193.95849889537152,2232.413661015673,35,571.0515000000319,-159.00499999999997,0.0,1011,973
cfg_0072,8,200,2.2,0.5,1,5069,3424,1645,0.6754783981061353,0.9330444298001982,-0.022514363458435122,-114.12530837080763,-447.29582433854097,0.4643879293377432,-1.0359815066402678,126.11808828193158,1023.2545300287777,6,1108.1745000000747,-61.98500000000005,0.0,2497,2572
cfg_0073,8,200,2.2,0.5,2,5069,3424,1645,0.6754783981061353,0.9330444298001982,-0.022514363458435122,-114.12530837080763,-447.29582433854097,0.4643879293377432,-1.0359815066402678,126.11808828193158,1023.2545300287777,6,1108.1745000000747,-61.98500000000005,0.0,2497,2572
cfg_0074,8,200,2.2,0.5,3,5069,3424,1645,0.6754783981061353,0.9330444298001982,-0.022514363458435122,-114.12530837080763,-447.29582433854097,0.4643879293377432,-1.0359815066402678,126.11808828193158,1023.2545300287777,6,1108.1745000000747,-61.98500000000005,0.0,2497,2572
cfg_0075,8,200,2.2,1.0,1,4368,2172,2196,0.49725274725274726,0.9227933078632511,-0.04014249178999999,-175.34240413871996,-1512.1996684629803,0.9648873807003814,-1.0341884312476994,217.0666111181233,1804.4267049710998,10,1018.609500000081,-112.1120000000002,0.0,2177,2191
cfg_0076,8,200,2.2,1.0,2,4368,2172,2196,0.49725274725274726,0.9227933078632511,-0.04014249178999999,-175.34240413871996,-1512.1996684629803,0.9648873807003814,-1.0341884312476994,217.0666111181233,1804.4267049710998,10,1018.609500000081,-112.1120000000002,0.0,2177,2191
cfg_0077,8,200,2.2,1.0,3,4368,2172,2196,0.49725274725274726,0.9227933078632511,-0.04014249178999999,-175.34240413871996,-1512.1996684629803,0.9648873807003814,-1.0341884312476994,217.0666111181233,1804.4267049710998,10,1018.609500000081,-112.1120000000002,0.0,2177,2191
cfg_0078,8,200,2.2,1.5,1,3495,1367,2127,0.39124212936462505,0.9104054100881037,-0.05639236669932355,-197.0913216141358,-1560.9340105617912,1.4645513990541248,-1.0342326066797711,207.9118375818185,1723.4196857946488,11,859.2075000000705,-132.59400000000014,0.0,1759,1736
cfg_0079,8,200,2.2,1.5,2,3495,1367,2127,0.39124212936462505,0.9104054100881037,-0.05639236669932355,-197.0913216141358,-1560.9340105617912,1.4645513990541248,-1.0342326066797711,207.9118375818185,1723.4196857946488,11,859.2075000000705,-132.59400000000014,0.0,1759,1736
cfg_0080,8,200,2.2,1.5,3,3495,1367,2127,0.39124212936462505,0.9104054100881037,-0.05639236669932355,-197.0913216141358,-1560.9340105617912,1.4645513990541248,-1.0342326066797711,207.9118375818185,1723.4196857946488,11,859.2075000000705,-132.59400000000014,0.0,1759,1736
cfg_0081,8,200,2.2,2.0,1,2761,912,1847,0.33055454874954693,0.9394171281056979,-0.04186268914258048,-115.58288472266469,-1321.0396892762597,1.9635065602984612,-1.0329439992552094,141.85026752775346,1521.8681987795871,14,705.686500000038,-134.7500000000002,0.0,1375,1386
cfg_0082,8,200,2.2,2.0,2,2761,912,1847,0.33055454874954693,0.9394171281056979,-0.04186268914258048,-115.58288472266469,-1321.0396892762597,1.9635065602984612,-1.0329439992552094,141.85026752775346,1521.8681987795871,14,705.686500000038,-134.7500000000002,0.0,1375,1386
cfg_0083,8,200,2.2,2.0,3,2761,912,1847,0.33055454874954693,0.9394171281056979,-0.04186268914258048,-115.58288472266469,-1321.0396892762597,1.9635065602984612,-1.0329439992552094,141.85026752775346,1521.8681987795871,14,705.686500000038,-134.7500000000002,0.0,1375,1386
cfg_0084,8,200,2.2,2.5,1,2270,627,1636,0.2770658418029165,0.916993350577329,-0.06186013389911562,-140.42250395099245,-1379.7719579969541,2.462482962832137,-1.0340475970647651,148.51347014186717,1646.3525276309156,19,625.3390000000461,-151.99799999999996,0.0,1157,1113
cfg_0085,8,200,2.2,2.5,2,2270,627,1636,0.2770658418029165,0.916993350577329,-0.06186013389911562,-140.42250395099245,-1379.7719579969541,2.462482962832137,-1.0340475970647651,148.51347014186717,1646.3525276309156,19,625.3390000000461,-151.99799999999996,0.0,1157,1113
cfg_0086,8,200,2.2,2.5,3,2270,627,1636,0.2770658418029165,0.916993350577329,-0.06186013389911562,-140.42250395099245,-1379.7719579969541,2.462482962832137,-1.0340475970647651,148.51347014186717,1646.3525276309156,19,625.3390000000461,-151.99799999999996,0.0,1157,1113
cfg_0087,8,200,2.2,3.0,1,1902,445,1446,0.23532522474881015,0.8888678434940269,-0.08735835669383138,-166.15559443166728,-2244.9384789132914,2.9590392773443877,-1.0339676085101426,186.6398480200096,2529.184575180421,30,554.6040000000307,-159.544,0.0,958,944
cfg_0088,8,200,2.2,3.0,2,1902,445,1446,0.23532522474881015,0.8888678434940269,-0.08735835669383138,-166.15559443166728,-2244.9384789132914,2.9590392773443877,-1.0339676085101426,186.6398480200096,2529.184575180421,30,554.6040000000307,-159.544,0.0,958,944
cfg_0089,8,200,2.2,3.0,3,1902,445,1446,0.23532522474881015,0.8888678434940269,-0.08735835669383138,-166.15559443166728,-2244.9384789132914,2.9590392773443877,-1.0339676085101426,186.6398480200096,2529.184575180421,30,554.6040000000307,-159.544,0.0,958,944
cfg_0090,8,200,2.7,0.5,1,5023,3384,1639,0.6737009755126419,0.9282503580733095,-0.02426575086077195,-121.8868665736575,-578.0716763449877,0.4659119187453151,-1.036322635514218,134.90556958280618,1151.3123089683438,8,1102.2550000000706,-65.75800000000007,0.0,2474,2549
