cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_3315,23,350,1.2,1.0,-0.0450081613276319,2219,-0.10392271379922166,757,0.026741184306678167,712,-0.04966586805906939,751,1
cfg_3318,23,350,1.2,1.5,-0.05588358018399,1740,-0.13861687941049466,592,0.01321299849468134,570,-0.03231151897769726,584,1
cfg_3321,23,350,1.2,2.0,-0.1045184716501624,1394,-0.20882261868147273,479,-0.0593378358232203,444,-0.04313574452537502,478,0
cfg_3324,23,350,1.2,2.5,-0.0565153051622929,1184,-0.11668928670606993,426,0.013218789324287461,368,-0.0586050997707489,398,1
cfg_3327,23,350,1.2,3.0,-0.0647975695377957,1006,-0.0873534380697447,371,-0.046723436410240085,312,-0.05575935750212593,331,0
cfg_3330,23,350,1.7,0.5,-0.0243204329624469,2680,-0.056644603260398975,892,0.02169613368003738,890,-0.03502460132548142,900,1
cfg_3333,23,350,1.7,1.0,-0.0462472114445028,2174,-0.1074979862385362,738,0.01816937607142334,703,-0.0422814970253529,734,1
cfg_3336,23,350,1.7,1.5,-0.0588340394740338,1692,-0.13896481515620346,568,0.014588288568164635,564,-0.04416632106148251,566,1
cfg_3339,23,350,1.7,2.0,-0.0915341462281914,1363,-0.17925957866747042,456,-0.0588962193843406,441,-0.03872184230470298,473,0
cfg_3342,23,350,1.7,2.5,-0.0499741801970414,1166,-0.12124289707648908,417,0.012642618614463344,365,-0.03459188959474352,392,1
cfg_3345,23,350,1.7,3.0,-0.0597858507739292,992,-0.07248185295399125,352,-0.03988130606050819,314,-0.06438646863155456,334,0
cfg_3348,23,350,2.2,0.5,-0.0201545249235145,2662,-0.05301006905808259,883,0.02640250220694503,888,-0.031184388898289395,893,1
cfg_3351,23,350,2.2,1.0,-0.0390849277626297,2140,-0.09897328959371793,726,0.019319438962469727,693,-0.030785551278227078,722,1
