config,bar,timestamp_utc,dir,valido,match_status
A,8106,1748332803,1,True,same
A,8108,1748333403,-1,True,same
A,8134,1748341203,1,True,same
A,8155,1748347503,1,True,same
A,8164,1748350203,-1,True,A_only
A,8176,1748353803,-1,True,A_only
A,8180,1748355003,1,True,same
A,8229,1748369703,-1,True,A_only
A,8231,1748370303,1,True,A_only
A,8249,1748375703,-1,True,same
A,8264,1748383803,-1,True,same
A,8265,1748384103,1,True,A_only
A,8272,1748386203,-1,True,A_only
A,8296,1748393403,-1,True,same
A,8311,1748397903,1,True,same
A,8341,1748406903,1,True,same
A,8344,1748407803,1,True,same
A,8345,1748408103,-1,True,A_only
A,8358,1748412003,-1,True,A_only
A,8388,1748421003,-1,True,same
A,8408,1748427003,-1,True,same
A,8435,1748435103,1,True,A_only
A,8443,1748437503,-1,True,same
A,8454,1748440803,1,True,A_only
A,8480,1748448603,1,True,same
A,8492,1748452203,1,True,same
A,8515,1748459103,-1,True,A_only
A,8524,1748461803,1,True,same
A,8531,1748463903,1,True,A_only
A,8569,1748478903,1,True,same
A,8574,1748480403,-1,True,A_only
A,8583,1748483103,1,True,same
A,8627,1748496303,1,True,same
A,8628,1748496603,-1,True,A_only
A,8632,1748497803,1,True,A_only
A,8635,1748498703,-1,True,A_only
A,8662,1748506803,-1,True,A_only
A,8705,1748519703,-1,True,same
A,8706,1748520003,1,True,A_only
A,8726,1748526003,-1,True,same
A,8764,1748537403,-1,True,same
A,8780,1748542203,-1,True,same
A,8786,1748544003,1,True,A_only
A,8807,1748550303,1,True,A_only
A,8815,1748556303,-1,True,A_only
A,8818,1748557203,1,True,A_only
A,8831,1748561103,1,True,same
A,8836,1748562603,1,True,same
A,8851,1748567103,1,True,same
A,8856,1748568603,-1,True,A_only
A,8875,1748574303,1,True,same
A,8895,1748580303,1,True,same
A,8896,1748580603,-1,True,A_only
A,8897,1748580903,1,True,A_only
A,8898,1748581203,-1,True,A_only
A,8902,1748582403,1,True,same
A,8911,1748585103,-1,True,A_only
A,8926,1748589603,1,True,same
A,8981,1748606103,1,True,A_only
A,8982,1748606403,-1,True,A_only
A,8984,1748607003,1,True,A_only
A,8997,1748610903,-1,True,same
A,9017,1748616903,1,True,same
A,9057,1748628903,-1,True,A_only
A,9058,1748629203,1,True,A_only
A,9067,1748631903,-1,True,A_only
A,9080,1748635803,-1,True,A_only
A,9090,1748815503,1,False,A_only
A,9111,1748821803,-1,True,same
A,9113,1748822403,1,True,A_only
A,9215,1748853003,-1,True,same
A,9216,1748853303,1,True,A_only
A,9267,1748868603,-1,True,same
A,9276,1748871303,1,True,A_only
A,9295,1748877003,-1,True,same
A,9307,1748880603,-1,True,same
A,9336,1748889303,1,True,A_only
A,9358,1748895903,-1,True,same
A,9382,1748906703,-1,True,same
A,9388,1748908503,1,True,A_only
A,9389,1748908803,-1,True,same
A,9409,1748914803,1,True,same
A,9446,1748925903,1,True,same
A,9447,1748926203,-1,True,A_only
A,9454,1748928303,-1,True,A_only
A,9458,1748929503,1,True,same
A,9462,1748930703,-1,True,A_only
A,9476,1748934903,1,True,same
A,9533,1748952003,-1,True,A_only
A,9540,1748954103,1,True,same
A,9550,1748957103,-1,True,A_only
A,9562,1748960703,1,True,same
A,9607,1748974203,-1,True,A_only
A,9608,1748974503,1,True,same
A,9614,1748976303,1,True,A_only
A,9622,1748978703,-1,True,A_only
A,9660,1748993703,-1,True,same
A,9661,1748994003,1,True,A_only
A,9668,1748996103,1,True,A_only
A,9677,1748998803,1,True,same
A,9695,1749004203,-1,True,same
A,9699,1749005403,1,True,same
A,9733,1749015603,1,True,A_only
A,9734,1749015903,-1,True,same
A,9758,1749023103,-1,True,A_only
A,9810,1749038703,1,True,same
A,9811,1749039003,-1,True,A_only
A,9814,1749039903,-1,True,A_only
A,9827,1749043803,-1,True,A_only
A,9847,1749049803,-1,True,same
A,9888,1749062103,-1,True,same
A,9910,1749068703,1,True,A_only
A,9918,1749074703,-1,True,A_only
A,9919,1749075003,1,True,A_only
A,9921,1749075603,1,True,A_only
A,9923,1749076203,-1,True,A_only
A,9925,1749076803,1,True,A_only
A,9927,1749077403,-1,True,A_only
A,9941,1749081603,-1,True,A_only
A,9948,1749083703,-1,True,A_only
A,9951,1749084603,1,True,A_only
A,9956,1749086103,-1,True,same
A,9971,1749090603,1,True,same
A,9977,1749092403,1,True,same
A,10013,1749103203,1,True,same
A,10020,1749105303,-1,True,A_only
A,10039,1749111003,-1,True,A_only
A,10078,1749122703,-1,True,same
A,10086,1749125103,1,True,A_only
A,10088,1749125703,-1,True,A_only
A,10091,1749126603,1,True,A_only
A,10092,1749126903,-1,True,A_only
A,10103,1749130203,1,True,A_only
A,10112,1749132903,1,True,A_only
A,10142,1749141903,1,True,same
A,10158,1749146703,-1,True,A_only
A,10162,1749147903,1,True,same
A,10166,1749149103,-1,True,A_only
A,10168,1749149703,-1,True,A_only
A,10178,1749152703,-1,True,A_only
A,10211,1749166203,-1,True,same
A,10212,1749166503,1,True,A_only
A,10224,1749170103,-1,True,same
A,10236,1749173703,-1,True,same
A,10280,1749186903,-1,True,same
A,10303,1749193803,1,True,A_only
A,10312,1749196503,1,True,same
A,10341,1749205203,1,True,same
A,10358,1749210303,-1,True,A_only
A,10366,1749212703,1,True,A_only
A,10370,1749213903,1,True,same
A,10371,1749214203,-1,True,A_only
A,10402,1749223503,1,True,same
A,10441,1749235203,1,True,same
A,10442,1749235503,-1,True,A_only
A,10463,1749241803,1,True,same
A,10476,1749422403,-1,True,A_only
A,10479,1749423303,1,True,A_only
A,10507,1749431703,1,True,same
A,10520,1749435603,1,True,same
A,10552,1749445203,-1,True,A_only
A,10554,1749445803,1,True,same
A,10564,1749448803,-1,True,A_only
A,10583,1749454503,-1,True,same
A,10634,1749469803,-1,True,same
A,10641,1749471903,1,True,A_only
A,10645,1749473103,-1,True,A_only
A,10654,1749475803,1,True,A_only
A,10666,1749479403,-1,True,A_only
A,10699,1749489303,-1,True,same
A,10715,1749494103,-1,True,same
A,10756,1749510003,1,True,same
A,10768,1749513603,-1,True,A_only
A,10801,1749523503,1,True,same
A,10825,1749530703,1,True,same
A,10856,1749540003,-1,True,same
A,10869,1749543903,-1,True,same
A,10909,1749555903,-1,True,same
A,10916,1749558003,1,True,A_only
A,10936,1749564003,-1,True,same
A,10958,1749570603,1,True,A_only
A,10973,1749575103,1,True,A_only
A,10985,1749578703,1,True,A_only
A,10986,1749579003,-1,True,A_only
A,10991,1749580503,1,True,A_only
A,10996,1749582003,1,True,same
A,11006,1749585003,-1,True,A_only
A,11027,1749594903,1,True,A_only
A,11032,1749596403,-1,True,A_only
A,11039,1749598503,1,True,same
A,11056,1749603603,-1,True,same
A,11065,1749606303,-1,True,same
A,11092,1749614403,-1,True,same
A,11098,1749616203,-1,True,same
A,11106,1749618603,-1,True,same
A,11108,1749619203,1,True,A_only
A,11115,1749621303,1,True,A_only
A,11124,1749624003,1,True,A_only
A,11152,1749632403,-1,True,same
A,11181,1749641103,1,True,A_only
A,11188,1749643203,-1,True,same
A,11190,1749643803,1,True,A_only
A,11198,1749646203,-1,True,same
A,11260,1749664803,1,True,same
A,11313,1749684303,-1,True,same
A,11314,1749684603,1,True,A_only
A,11340,1749692403,-1,True,same
A,11356,1749697203,-1,True,same
A,11378,1749703803,-1,True,same
A,11383,1749705303,1,True,A_only
A,11393,1749708303,-1,True,A_only
A,11399,1749710103,1,True,A_only
A,11419,1749716103,1,True,same
A,11457,1749727503,-1,True,same
A,11458,1749727803,1,True,same
A,11463,1749729303,1,True,A_only
A,11478,1749733803,-1,True,same
A,11490,1749737403,-1,True,same
A,11540,1749752403,-1,True,A_only
A,11542,1749753003,1,True,A_only
A,11564,1749759603,-1,True,A_only
A,11581,1749768303,1,True,same
A,11584,1749769203,-1,True,A_only
A,11634,1749784203,-1,True,same
A,11653,1749789903,-1,True,same
A,11659,1749791703,1,True,A_only
A,11666,1749793803,1,True,A_only
A,11685,1749799503,1,True,A_only
A,11762,1749822603,-1,True,same
A,11769,1749824703,1,True,A_only
A,11815,1749838503,-1,True,same
A,11817,1749839103,1,True,A_only
A,11829,1749842703,-1,True,A_only
A,11862,1750029303,-1,True,same
A,11863,1750029603,1,True,A_only
A,11873,1750032603,1,True,A_only
A,11892,1750038303,1,True,A_only
A,11951,1750056003,1,True,same
A,11952,1750056303,-1,True,same
A,11962,1750059303,1,True,same
A,12009,1750073403,-1,True,A_only
A,12016,1750075503,1,True,same
A,12032,1750080303,1,True,same
A,12048,1750085103,1,True,same
A,12105,1750102203,1,True,same
A,12107,1750102803,-1,True,A_only
A,12143,1750117203,-1,True,same
A,12144,1750117503,1,True,A_only
A,12151,1750119603,-1,True,same
A,12156,1750121103,-1,True,same
A,12194,1750132503,1,True,same
A,12213,1750138203,-1,True,same
A,12214,1750138503,1,True,A_only
A,12231,1750143603,1,True,A_only
A,12259,1750152003,1,True,A_only
A,12283,1750159203,-1,True,A_only
A,12287,1750160403,1,True,A_only
A,12289,1750161003,-1,True,A_only
A,12297,1750163403,1,True,A_only
A,12312,1750167903,-1,True,A_only
A,12325,1750171803,1,True,same
A,12368,1750184703,-1,True,A_only
A,12369,1750185003,1,True,A_only
A,12371,1750185603,-1,True,A_only
A,12386,1750190103,1,True,A_only
A,12405,1750199403,-1,True,same
A,12407,1750200003,1,True,A_only
A,12431,1750207203,1,True,A_only
A,12439,1750209603,1,True,A_only
A,12456,1750214703,1,True,same
A,12484,1750223103,-1,True,same
A,12486,1750223703,1,True,same
A,12505,1750229403,1,True,A_only
A,12514,1750232103,1,True,A_only
A,12549,1750242603,1,True,A_only
A,12563,1750246803,-1,True,A_only
A,12564,1750247103,1,True,A_only
A,12567,1750248003,1,True,A_only
A,12577,1750251003,-1,True,A_only
A,12591,1750255203,-1,True,A_only
A,12597,1750257003,1,True,same
A,12640,1750269903,1,True,A_only
