ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,200,2.7,0.5,2,10,True,500,0.01,False,True,9895,5023,3384,1639,2328,0,16,2527,5023,0.6737009755126419,0.13384083764834603,0.01194757380779415,31.63264848199566
8,200,2.7,0.5,3,10,True,500,0.01,False,True,9895,5023,3384,1639,2328,0,16,2527,5023,0.6737009755126419,0.13384083764834603,0.01194757380779415,31.63264848199566
8,200,2.7,1.0,1,10,True,500,0.01,False,True,9895,4300,2132,2167,1067,0,16,4512,4299,0.49592928588043733,0.24034821133042245,0.022724151082218765,40.02555944265134
8,200,2.7,1.0,2,10,True,500,0.01,False,True,9895,4300,2132,2167,1067,0,16,4512,4299,0.49592928588043733,0.24034821133042245,0.022724151082218765,40.02555944265134
8,200,2.7,1.0,3,10,True,500,0.01,False,True,9895,4300,2132,2167,1067,0,16,4512,4299,0.49592928588043733,0.24034821133042245,0.022724151082218765,40.02555944265134
8,200,2.7,1.5,1,10,True,500,0.01,False,True,9895,3401,1339,2060,525,1,16,5953,3400,0.3939393939393939,0.3785601858975507,0.03516349012260421,22.54727944428032
8,200,2.7,1.5,2,10,True,500,0.01,False,True,9895,3401,1339,2060,525,1,16,5953,3400,0.3939393939393939,0.3785601858975507,0.03516349012260421,22.54727944428032
8,200,2.7,1.5,3,10,True,500,0.01,False,True,9895,3401,1339,2060,525,1,16,5953,3400,0.3939393939393939,0.3785601858975507,0.03516349012260421,22.54727944428032
8,200,2.7,2.0,1,10,True,500,0.01,False,True,9895,2665,881,1781,283,2,16,6931,2664,0.330954169797145,0.44939220316066947,0.04640754629243418,21.05795283775808
8,200,2.7,2.0,2,10,True,500,0.01,False,True,9895,2665,881,1781,283,2,16,6931,2664,0.330954169797145,0.44939220316066947,0.04640754629243418,21.05795283775808
8,200,2.7,2.0,3,10,True,500,0.01,False,True,9895,2665,881,1781,283,2,16,6931,2664,0.330954169797145,0.44939220316066947,0.04640754629243418,21.05795283775808
8,200,2.7,2.5,1,10,True,500,0.01,False,True,9895,2195,602,1585,161,7,16,7523,2194,0.2752629172382259,0.5648138854205105,0.06228911677257233,29.602330043436382
8,200,2.7,2.5,2,10,True,500,0.01,False,True,9895,2195,602,1585,161,7,16,7523,2194,0.2752629172382259,0.5648138854205105,0.06228911677257233,29.602330043436382
8,200,2.7,2.5,3,10,True,500,0.01,False,True,9895,2195,602,1585,161,7,16,7523,2194,0.2752629172382259,0.5648138854205105,0.06228911677257233,29.602330043436382
8,200,2.7,3.0,1,10,True,500,0.01,False,True,9895,1840,425,1402,117,12,16,7922,1839,0.2326217843459223,0.6707374319630212,0.07322533589057564,46.79210318865262
